"Country";"Gini";"GDPc";"IDH";"Wage";"Carbon"
"Afghanistan";0.294;0.00293597856450601;0.398;0.0351198331275808;0
"Albania";0.345;0.033122398951029;0.739;0.17811076582521;0.0588671346967252
"Algeria";0.353;0.0408851642817779;0.698;0.178579030266911;0.176601404090176
"Argentina";0.458;0.0848678334568535;0.797;0.292878123536674;0.202023285222169
"Armenia";0.309;0.026974896908196;0.716;0.0768805074283768;0.0654079274408058
"Austria";0.26;0.427731220188891;0.885;0.596781746200673;0.364845419264815
"Azerbaijan";0.337;0.05254356460103;0.7;0.0913541356264101;0.209305367810579
"Bangladesh";0.332;0.00458924804743173;0.5;0.0304797582052701;0.0130815854881612
"Belarus";0.272;0.0529521311973852;0.756;0.0958665020646205;0.27763484934374
"Belgium";0.28;0.408110522015088;0.886;0.797369205227534;0.434613875201675
"Benin";0.365;0.00530186420386523;0.427;0.062619726703844;0.0218026424802686
"Bolivia";0.582;0.0169792676206222;0.663;0.120131114043676;0.0566868704486984
"Bosnia and Herzegovina";0.362;0.0400680310890675;0.733;0.199565791154059;0.338682248288493
"Botswana";0.63;0.0685156680538928;0.633;0.122642714230982;0.11119347664937
"Brazil";0.519;0.0999372897782339;0.718;0.19573453663105;0.0828500414250207
"Bulgaria";0.453;0.0582729984987553;0.771;0.119109446170874;0.287794880739546
"Burkina Faso";0.395;0.00326853277084165;0.331;0.0704099442339619;0.00436052849605372
"Burundi";0.424;0;0.316;0;0
"Cambodia";0.444;0.00572943389772533;0.523;0.0251160018730578;0.0130815854881612
"Cameroon";0.446;0.00903597286357676;0.482;0.0553403431101273;0.0109013212401343
"Canada";0.321;0.437489310757653;0.908;0.707845557873228;0.72240875594122
"Central African Republic";0.613;0.00251791041939836;0.343;0.0118343195266272;0.00436052849605372
"Chile";0.521;0.116289455181195;0.805;0.229960410369929;0.183142196834256
"Colombia";0.585;0.0573228436235106;0.71;0.20863309352518;0.0610473989447521
"Costa Rica";0.503;0.0712521140945974;0.744;0.15665574049636;0.0763092486809401
"Cote dIvoire";0.415;0.00914048989985368;0.4;0.0579370822868333;0.0130815854881612
"Croatia";0.337;0.128860004180681;0.796;0.33497935379507;0.235468538786901
"Cyprus";0.29;0.271620774186192;0.84;0.505299902090162;0.41717176121746
"Czech Republic";0.26;0.171531459627919;0.865;0.281512068451747;0.515981336938037
"Denmark";0.29;0.529226763962526;0.895;1;0.399729647233245
"Dominican Republic";0.484;0.0477262793835395;0.689;0.059980418032438;0.0915710984171282
"Ecuador";0.469;0.0362579100393364;0.72;0.238304031331148;0.0959316269131819
"El Salvador";0.469;0.0307280086654125;0.674;0.0896087863437061;0.0479658134565909
"Estonia";0.314;0.134475419493377;0.835;0.239538546677451;0.60467448654777
"Ethiopia";0.3;0.00157725709290614;0.363;0.0349069856540803;0.00436052849605372
"France";0.327;0.373106816411075;0.884;0.750031927121025;0.267431212662975
"The Gambia";0.502;0.00261292590692283;0.42;0.0650461879017496;0.00872105699210744
"Georgia";0.408;0.0230697603709405;0.733;0.00838619045591929;0.0566868704486984
"Ghana";0.394;0.0103661896889193;0.541;0.0258396832829594;0.0174421139842149
"Greece";0.33;0.250916899454611;0.861;0.484100293729513;0.383726507652727
"Guatemala";0.551;0.0253691351690325;0.574;0.132305989527904;0.0414250207125104
"Guyana";0.432;0.0262052714592479;0.633;0.104635817972841;0.0872105699210744
"Haiti";0.592;0.00455124185242195;0.454;0.031288578604572;0.00872105699210744
"Honduras";0.577;0.0174258404119872;0.625;0.333446851985867;0.0479658134565909
"Hong Kong";0.533;0.299925887919731;0.898;0.334170533395769;0.245628570182706
"Hungary";0.247;0.120289607205975;0.816;0.263590311183006;0.244189595779008
"Indonesia";0.368;0.0261672652642381;0.617;0.0402281724915925;0.0719487201848864
"Ireland";0.293;0.446363757292439;0.908;0.803839768421949;0.43749182400907
"Israel";0.392;0.269007848279269;0.888;0.528329998722915;0.295076963327955
"Jamaica";0.455;0.0482868707599339;0.727;0.176109999574305;0.206383813718223
"Japan";0.376;0.405136537255573;0.901;0.475586394789494;0.421532289713513
"Jordan";0.397;0.041502764950687;0.698;0.101145119407433;0.156979025857934
"Kazakhstan";0.267;0.0849818520418828;0.745;0.0578945127921332;0.620634020843326
"Kenya";0.425;0.0055394029226764;0.509;0.0318419820356732;0.0130815854881612
"South Korea";0.314;0.195399350094065;0.897;0.42169341449917;0.450573409497231
"Kyrgyzstan";0.334;0.00634703456663436;0.615;0.00719424460431655;0.0479658134565909
"Latvia";0.357;0.0998897820344716;0.805;0.223532416670214;0.1460777046178
"Lithuania";0.376;0.102056135150029;0.81;0.241667021412456;0.196223782322417
"Luxembourg";0.26;1;0.867;0.823464305478694;1
"Macedonia";0.442;0.0405526100754423;0.728;0.179558128645013;0.242750621375311
"Madagascar";0.475;0.00217585466431028;0.48;0.038269975735388;0.00436052849605372
"Malawi";0.39;0.00143473386161944;0.4;0.0175386318164403;0.00436052849605372
"Malaysia";0.462;0.077732170343766;0.761;0.198075858839556;0.321240134304278
"Mali";0.401;0.00389563498850313;0.359;0.0511685326295177;0
"Malta";0.26;0.188121163749691;0.832;0.573581371589119;0.281995377839794
"Mauritania";0.39;0.00816183037835167;0.453;0.0825422502234898;0.0239829067282955
"Mauritius";0.39;0.0703209623168576;0.728;0.070452513728662;0.132996119129639
"Mexico";0.517;0.084858331908101;0.77;0.0711336256438636;0.18750272533031
"Moldova";0.38;0.0136727286547707;0.649;0.0309905921416713;0.0588671346967252
"Mongolia";0.365;0.0195541873325352;0.653;0.0818185688135882;0.170060611346095
"Morocco";0.409;0.0247420329513711;0.582;0.111276659146056;0.0654079274408058
"Netherlands";0.309;0.443940862360565;0.91;0.819590481460985;0.452055989185889
"Nicaragua";0.431;0.00893145582729985;0.589;0.0909284406794091;0.0348842279684298
"Niger";0.34;0.00157725709290614;0.295;0.0547018006896258;0.00436052849605372
"Nigeria";0.437;0.00978659521502005;0.459;0.0592993061172364;0.0283434352243492
"Pakistan";0.306;0.00785778081827338;0.504;0.102251926269635;0.0392447564644835
"Panama";0.51;0.0702829561218479;0.768;0.172747009492997;0.093751362665155
"Papua New Guinea";0.509;0.0113068430154115;0.466;0.137158911923715;0.0261631709763223
"Philippines";0.458;0.0185090169697661;0.644;0.083904474053893;0.0348842279684298
"Poland";0.342;0.114978241453357;0.813;0.225235196458218;0.363362839576157
"Portugal";0.385;0.202506508560895;0.809;0.411817291728747;0.238390092879257
"Romania";0.312;0.0697983771354731;0.781;0.155463794644758;0.196223782322417
"Russia";0.422;0.0973718716150732;0.755;0.116214720531267;0.517463916626695
"Rwanda";0.468;0.00321152347832697;0.429;0.0176237708058405;0.00436052849605372
"Senegal";0.413;0.00807631643957965;0.459;0.0662381337533524;0.0196223782322418
"Serbia";0.282;0.0482393630161716;0.766;0.182835979736921;0.223825927702438
"Seychelles";0.658;0.101029967884765;0.773;0.221105955472309;0.357563336676405
"Sierra Leone";0.629;0.0012637059840754;0.336;0.00549146481631263;0.00872105699210744
"Slovakia";0.26;0.150780077152576;0.834;0.270912264271423;0.306675969127458
"Slovenia";0.284;0.215295593181689;0.884;0.410029372951343;0.351763833776654
"South Africa";0.65;0.0672994698135796;0.619;0.101698522838534;0.376444425064318
"Spain";0.32;0.288372004636756;0.878;0.482908347877911;0.341560197095888
"Sri Lanka";0.403;0.020741880926591;0.691;0.0654293133540505;0.0261631709763223
"Swaziland";0.504;0.0273739619557988;0.522;0.032608232940275;0.0392447564644835
"Switzerland";0.337;0.639188187674591;0.903;0.654505981014005;0.234029564383203
"Tajikistan";0.326;0.0059669726165365;0.607;0.0168149504065387;0.0457855492085641
"Tanzania";0.376;0.00318301883206963;0.466;0.0643225064918479;0.00436052849605372
"Thailand";0.536;0.0419588392908044;0.682;0.0941211527819165;0.180961932586229
"Timor-Leste";0.319;0.00409516751230451;0.495;0.215827338129496;0.00872105699210744
"Tunisia";0.4;0.0380727058510537;0.698;0.122472436252182;0.102472419657262
"Turkey";0.397;0.0940843357467267;0.699;0.206206632327274;0.165700082850041
"Turkmenistan";0.408;0.0358683465404861;0.686;0.100634285471031;0.401168621636942
"Ukraine";0.275;0.0267468597381373;0.729;0.0942488612660168;0.300876466227707
"United Kingdom";0.34;0.341599680747962;0.863;0.798092886637436;0.385165482056425
"United States";0.45;0.44663930220626;0.91;0.638457281512068;0.790694632189421
"Uruguay";0.424;0.11215628147388;0.783;0.127580775616193;0.0872105699210744
"Uzbekistan";0.368;0.0113258461129164;0.641;0.0173683538376399;0.191863253826364
"Venezuela";0.41;0.12730175018528;0.735;0.307692307692308;0.258710155670867
"Vietnam";0.376;0.00980559831252494;0.593;0.0391639351240901;0.0545066062006715
"Zambia";0.508;0.0100811432263459;0.43;0.0355455280745818;0.00872105699210744
