"Country";"Gini";"GDPc";"IDH";"Wage";"Carbon"
"Afghanistan";0.294;0.501;0.398;0.907;0.000
"Albania";0.345;3.678;0.739;4.266;1.350
"Algeria";0.353;4.495;0.698;4.277;4.050
"Argentina";0.458;9.124;0.797;6.962;4.633
"Armenia";0.309;3.031;0.716;1.888;1.500
"Austria";0.260;45.209;0.885;14.101;8.367
"Azerbaijan";0.337;5.722;0.700;2.228;4.800
"Bangladesh";0.332;0.675;0.500;0.798;0.300
"Belarus";0.272;5.765;0.756;2.334;6.367
"Belgium";0.280;43.144;0.886;18.813;9.967
"Benin";0.365;0.750;0.427;1.553;0.500
"Bolivia";0.582;1.979;0.663;2.904;1.300
"Bosnia and Herzegovina";0.362;4.409;0.733;4.770;7.767
"Botswana";0.630;7.403;0.633;2.963;2.550
"Brazil";0.519;10.710;0.718;4.680;1.900
"Bulgaria";0.453;6.325;0.771;2.880;6.600
"Burkina Faso";0.395;0.536;0.331;1.736;0.100
"Burundi";0.424;0.192;0.316;0.082;0.000
"Cambodia";0.444;0.795;0.523;0.672;0.300
"Cameroon";0.446;1.143;0.482;1.382;0.250
"Canada";0.321;46.236;0.908;16.710;16.567
"Central African Republic";0.613;0.457;0.343;0.360;0.100
"Chile";0.521;12.431;0.805;5.484;4.200
"Colombia";0.585;6.225;0.710;4.983;1.400
"Costa Rica";0.503;7.691;0.744;3.762;1.750
"Cote dIvoire";0.415;1.154;0.400;1.443;0.300
"Croatia";0.337;13.754;0.796;7.951;5.400
"Cyprus";0.290;28.779;0.840;11.952;9.567
"Czech Republic";0.260;18.245;0.865;6.695;11.833
"Denmark";0.290;55.891;0.895;23.573;9.167
"Dominican Republic";0.484;5.215;0.689;1.491;2.100
"Ecuador";0.469;4.008;0.720;5.680;2.200
"El Salvador";0.469;3.426;0.674;2.187;1.100
"Estonia";0.314;14.345;0.835;5.709;13.867
"Ethiopia";0.300;0.358;0.363;0.902;0.100
"France";0.327;39.460;0.884;17.701;6.133
"The Gambia";0.502;0.467;0.420;1.610;0.200
"Georgia";0.408;2.620;0.733;0.279;1.300
"Ghana";0.394;1.283;0.541;0.689;0.400
"Greece";0.330;26.600;0.861;11.454;8.800
"Guatemala";0.551;2.862;0.574;3.190;0.950
"Guyana";0.432;2.950;0.633;2.540;2.000
"Haiti";0.592;0.671;0.454;0.817;0.200
